request_id,item_id,ctr_label,cvr_label,position,unionid,membership_tier,device,user_segment,user_age,activity_7d,historical_ctr,historical_cvr,user_pay_tendency_30d,author_id,content_id,brand_tier,content_type,price,quality_score,seller_score,item_ctr_7d,item_cvr_7d,hour_of_day,is_weekend,network_type,session_depth,traffic_source,seq_click_rate_7d,seq_watch_depth_7d,seq_skip_rate_7d,seq_ecom_exposure_7d,seq_live_watch_rate_7d,cross_ctr_gap,cross_price_gap,cross_user_author_affinity,cross_user_item_similarity,cross_query_item_intent,candidate_score
1,11,0,0,11,66470,free,mobile_web,high_value,42,7,0.022366,0.009937,0.1358,5068,11,mass,live,15.66,0.5466,4.3244,0.0611,0.0125,14,0,4,33,homepage,0.0139,0.3977,0.4378,12.1547,0.3044,0.1345,-0.2122,0.046,0.3251,0.0,0.4601
1,12,0,0,12,54322,free,mobile_web,active,18,24,0.037736,0.025445,0.0484,14519,12,mass,live,4.38,0.6553,4.2366,0.062,0.0195,17,1,5,30,homepage,0.1574,0.4729,0.2092,15.5132,0.0974,0.3366,-0.6016,0.3097,0.3478,0.0541,0.683
1,13,0,0,13,68328,free,ios,active,52,17,0.071101,0.011582,0.2779,7940,13,mass,short_video,13.64,0.6346,4.7446,0.0684,0.0166,1,1,4,38,push,0.1294,0.3294,0.5633,9.0759,0.0,0.0758,-0.1046,0.3696,0.4658,0.0,0.2352
1,14,0,0,14,52995,free,ios,new,54,12,0.05713,0.001,0.3506,11865,14,mass,short_video,14.63,0.6383,4.7434,0.0738,0.016,10,0,4,27,homepage,0.1197,0.4061,0.6078,19.5128,0.2914,-0.0001,-0.3582,0.0,0.0254,0.0,0.6341
1,15,0,0,15,33587,silver,desktop,active,37,15,0.068152,0.010433,0.4287,12565,15,premium,short_video,61.06,0.6896,4.403,0.0348,0.026,22,0,4,20,homepage,0.1599,0.1649,0.7429,37.8017,0.2026,-0.1989,-0.3033,0.2637,0.0357,0.1545,0.716
1,16,1,0,16,68387,gold,android,active,35,11,0.079838,0.020932,0.1716,10658,16,mass,mall,19.36,0.5386,4.3422,0.1012,0.0125,10,1,5,12,homepage,0.0733,0.3517,0.4032,26.0886,0.0,-0.2574,-0.3964,0.0972,0.2484,0.2709,0.3294
1,17,0,0,17,53006,silver,android,active,53,8,0.094952,0.014202,0.3332,11335,17,mass,ad,13.95,0.8087,4.7114,0.0865,0.0175,22,1,4,31,homepage,0.1089,0.5506,0.4238,4.5496,0.4052,-0.0508,-0.0949,0.3613,0.1089,0.3976,0.5585
1,18,1,0,18,1608,free,android,active,25,17,0.044984,0.025073,0.3149,9406,18,mass,mall,27.34,0.7602,4.4952,0.0381,0.0117,13,0,5,15,affiliate,0.1279,0.1855,0.5228,13.432,0.0721,-0.1229,-0.1121,0.1505,0.2797,0.1419,0.5402
1,19,0,0,19,61593,free,ios,new,34,16,0.035051,0.005132,0.0,4772,19,mass,short_video,20.14,0.5426,4.0626,0.0436,0.0111,4,1,3,20,ads,0.0429,0.1722,0.5614,12.8897,0.0798,0.0366,-0.2283,0.2717,0.0129,0.1173,0.2117
1,20,0,0,20,2720,free,ios,high_value,35,17,0.091528,0.008836,0.0893,12530,20,mass,live,11.56,0.6107,4.8225,0.0804,0.0097,5,0,4,19,ads,0.0936,0.202,0.4129,15.2715,0.2579,0.0882,0.4495,0.4091,0.4221,0.0,0.8832
1,21,0,0,21,6765,free,ios,active,58,9,0.054717,0.02051,0.3792,3336,21,mass,short_video,26.29,0.9648,4.4731,0.0768,0.0157,14,0,4,10,affiliate,0.0406,0.3426,0.2823,17.5547,0.3506,-0.5311,0.0174,0.433,0.0,0.4013,0.1503
1,22,0,0,22,337,gold,android,high_value,48,9,0.088044,0.006507,0.1754,4635,22,premium,short_video,18.84,0.6494,4.1919,0.0475,0.0173,7,0,4,21,homepage,0.1174,0.0901,0.4695,8.8481,0.0652,-0.3494,0.4064,0.1519,0.4069,0.2036,0.2134
1,23,1,0,23,20233,vip,android,active,52,9,0.078141,0.012363,0.0,1226,23,mass,mall,41.41,0.8386,4.7055,0.0497,0.0129,3,0,4,2,homepage,0.2055,0.4213,0.3683,27.3352,0.2701,0.2146,-0.5682,0.0372,0.2352,0.2169,0.6923
1,24,0,0,24,1232,gold,mobile_web,high_value,55,8,0.118607,0.011762,0.0658,14728,24,mass,short_video,19.64,0.6471,4.8716,0.06,0.014,0,0,4,18,search,0.2199,0.3563,0.4863,0.0,0.348,-0.1937,0.3759,0.0,0.221,0.0458,0.5606
1,25,1,0,25,12736,free,mobile_web,active,36,10,0.085202,0.019278,0.4711,14802,25,mass,short_video,50.04,0.6043,4.4978,0.1149,0.0091,5,1,5,31,search,0.1609,0.3128,0.6083,4.8657,0.1335,0.0172,0.0065,0.037,0.0796,0.0,0.2418
1,26,0,0,26,34363,silver,android,active,53,9,0.091639,0.008185,0.0495,9578,26,mass,short_video,21.25,0.6646,4.3996,0.0511,0.0169,1,0,4,32,homepage,0.1473,0.418,0.2557,15.6813,0.0,0.3894,-0.144,0.0,0.0,0.0256,0.7174
1,27,0,0,27,58288,free,mobile_web,churn_risk,43,11,0.122014,0.029158,0.1319,3869,27,luxury,short_video,13.17,0.4956,3.9885,0.165,0.0207,1,0,4,9,homepage,0.1278,0.2345,0.5078,6.8539,0.0,-0.2081,0.0644,0.5232,0.2583,0.0,0.4317
1,28,0,0,28,46956,silver,ios,high_value,25,13,0.039989,0.016681,0.0428,12944,28,mass,short_video,9.52,0.7337,4.475,0.122,0.0061,21,0,4,2,search,0.173,0.4081,0.2115,26.8222,0.0,0.0295,0.1286,0.2166,0.1484,0.1229,0.4801
1,29,0,0,29,13000,gold,mobile_web,high_value,46,19,0.050297,0.018772,0.0862,12995,29,premium,short_video,36.64,0.6648,4.6772,0.1153,0.012,4,0,4,6,ads,0.1309,0.2784,0.6254,27.3429,0.2379,-0.2596,-0.3848,0.0472,0.1559,0.2317,0.3586
1,30,0,0,30,66508,free,mobile_web,new,35,2,0.047079,0.027202,0.0,3486,30,mass,short_video,65.99,0.6827,4.4549,0.1001,0.0065,21,0,4,12,push,0.1076,0.6084,0.5411,13.5991,0.2079,0.1111,-0.0731,0.1166,0.1727,0.0,0.7056
1,31,0,0,31,11136,free,android,new,49,8,0.050822,0.017058,0.3956,14473,31,mass,live,19.9,0.6299,4.1983,0.1068,0.0131,16,0,2,26,homepage,0.1367,0.3348,0.519,41.1276,0.2022,-0.3717,-0.0434,0.278,0.009,0.1628,0.6728
1,32,1,0,32,57177,free,android,active,36,15,0.067991,0.008489,0.4605,308,32,mass,live,57.08,0.7451,4.4481,0.1409,0.0096,3,1,4,34,push,0.209,0.4934,0.407,10.9246,0.1887,-0.0862,-0.2883,0.0,0.3075,0.4198,0.2508
1,33,0,0,33,9877,silver,android,churn_risk,54,1,0.014481,0.005551,0.5776,2903,33,mass,live,16.54,0.5337,4.5685,0.0622,0.0181,8,0,4,5,homepage,0.0997,0.503,0.693,24.6053,0.3925,0.2039,0.2971,0.0,0.0,0.1521,0.2195
1,34,0,0,34,19774,gold,mobile_web,active,20,14,0.088607,0.005966,0.2878,1014,34,mass,live,12.76,0.6748,4.7509,0.1016,0.0226,10,0,3,22,affiliate,0.1404,0.3687,0.3531,10.6375,0.1512,-0.3173,0.5918,0.0,0.081,0.3432,0.6253
1,35,0,0,35,49373,gold,mobile_web,high_value,51,22,0.083161,0.013468,0.2185,10543,35,premium,live,10.88,0.8975,5.0,0.0407,0.0212,4,1,5,7,ads,0.0578,0.3304,0.3961,5.8027,0.051,-0.3827,-0.3481,0.0,0.2643,0.2433,0.4314
1,36,0,0,36,37347,free,android,high_value,30,2,0.10438,0.023861,0.2037,12328,36,premium,short_video,16.06,0.3922,4.3883,0.0753,0.0249,6,0,3,17,push,0.1742,0.399,0.1524,34.8882,0.1453,-0.2572,0.1038,0.2391,0.305,0.3077,0.1817
1,37,0,0,37,51965,free,ios,active,59,11,0.075629,0.032351,0.2998,8225,37,mass,short_video,20.17,0.7075,4.2191,0.0725,0.0163,19,1,3,17,search,0.1261,0.4289,0.614,12.974,0.0,0.1765,0.0138,0.2816,0.2186,0.3878,0.4735
1,38,0,0,38,38178,free,android,new,41,21,0.076091,0.001,0.1994,7033,38,premium,short_video,27.29,0.5325,4.5663,0.047,0.0087,11,1,2,5,search,0.0744,0.5552,0.2196,5.6039,0.17,-0.197,0.4229,0.2491,0.2434,0.0685,0.5566
1,39,0,0,39,38463,free,ios,new,52,12,0.066,0.011037,0.1218,3303,39,mass,ad,31.73,0.7392,4.2448,0.1027,0.017,12,0,5,25,affiliate,0.1029,0.4272,0.3555,9.0579,0.2077,-0.1657,0.3195,0.2843,0.0,0.3804,0.5835
1,40,0,0,40,58184,silver,desktop,active,21,22,0.079236,0.005607,0.4241,5760,40,mass,live,8.22,0.7062,4.4347,0.0616,0.0206,2,1,4,24,homepage,0.072,0.479,0.2195,8.7524,0.2898,-0.0671,0.0375,0.0,0.0217,0.1303,0.4395
2,41,0,0,1,58494,free,desktop,churn_risk,46,19,0.095752,0.02959,0.2153,3516,41,mass,mall,49.1,0.6055,4.436,0.0668,0.0172,9,0,4,12,homepage,0.1362,0.1564,0.4875,22.6273,0.3164,0.2979,0.4387,0.2218,0.0,0.3718,0.2853
2,42,0,0,2,9667,silver,android,churn_risk,53,11,0.054268,0.023326,0.1864,2054,42,mass,mall,14.4,0.7541,4.6897,0.0738,0.0059,22,1,5,34,homepage,0.1964,0.1502,0.4091,32.1986,0.1211,-0.0357,-0.1408,0.4135,0.0906,0.1584,0.6172
2,43,1,0,3,3719,silver,android,new,58,28,0.073725,0.004002,0.1593,1331,43,premium,short_video,17.91,0.7432,4.2612,0.0787,0.0122,14,1,3,29,homepage,0.0718,0.4304,0.3622,22.6989,0.2478,-0.1475,0.3213,0.1662,0.0,0.3208,0.4351
2,44,0,0,4,54806,gold,mobile_web,churn_risk,28,5,0.065288,0.008128,0.221,4068,44,premium,short_video,29.85,0.7243,4.7277,0.0988,0.0062,1,0,4,31,affiliate,0.1186,0.36,0.477,21.3529,0.1696,0.2091,-0.0874,0.2148,0.4194,0.2249,0.4235
2,45,0,0,5,16865,gold,android,active,50,12,0.068662,0.027275,0.2774,1585,45,premium,short_video,52.43,0.8505,4.9256,0.0926,0.0068,4,0,4,11,affiliate,0.0659,0.478,0.528,6.7867,0.0369,-0.0121,-0.4494,0.1964,0.1674,0.1646,0.4776
2,46,0,0,6,34804,gold,android,high_value,58,11,0.027644,0.004159,0.4104,10742,46,mass,short_video,11.89,0.6761,4.3451,0.0759,0.0192,14,0,3,14,homepage,0.047,0.4875,0.6953,8.2747,0.1762,-0.0786,0.1543,0.284,0.0795,0.37,0.3658
2,47,0,0,7,34651,vip,ios,active,36,11,0.032662,0.005876,0.2318,9996,47,luxury,ad,74.35,0.6825,4.2973,0.1156,0.0219,18,0,4,26,push,0.1718,0.0,0.4546,10.1989,0.1355,0.3385,-0.2153,0.3577,0.1917,0.3426,0.5864
2,48,1,0,8,69605,free,android,active,18,32,0.051568,0.021362,0.4027,3698,48,mass,mall,58.67,0.5821,4.1595,0.0347,0.0165,9,0,4,6,homepage,0.0991,0.2449,0.3879,0.0,0.4433,0.1152,-0.5805,0.3681,0.2448,0.1424,0.6834
2,49,0,0,9,14065,vip,android,active,47,12,0.104608,0.008705,0.4325,5490,49,luxury,mall,46.19,0.8084,4.52,0.0813,0.0068,9,0,4,12,homepage,0.0653,0.1934,0.2699,23.9115,0.1229,0.1965,0.8174,0.4991,0.0,0.2129,0.6969
2,50,0,0,10,47128,silver,android,active,37,10,0.035791,0.022131,0.1677,11351,50,premium,ad,23.38,0.8158,4.4831,0.1165,0.0159,22,0,4,35,search,0.15,0.0568,0.428,2.9389,0.006,-0.2192,-0.4235,0.1409,0.0,0.4326,0.7775
2,51,0,0,11,26923,free,android,active,47,5,0.054,0.011797,0.1061,11746,51,mass,short_video,10.08,0.6541,4.203,0.0639,0.0078,1,0,3,31,ads,0.1703,0.3725,0.4424,1.0816,0.3513,-0.043,-0.9654,0.4816,0.0,0.3774,0.6656
2,52,0,0,12,51519,vip,mobile_web,new,52,7,0.074859,0.016133,0.3853,8665,52,luxury,short_video,14.73,0.8447,4.1993,0.0281,0.0261,1,0,4,2,ads,0.1211,0.3996,0.2654,11.9468,0.0655,-0.3938,0.0035,0.2401,0.0,0.2346,0.5286
2,53,0,0,13,42031,free,mobile_web,active,55,25,0.031766,0.009066,0.1073,3882,53,mass,short_video,20.29,0.8671,4.3662,0.0985,0.0079,16,0,4,10,search,0.1102,0.437,0.2945,16.2471,0.2166,0.4291,0.2405,0.3557,0.3737,0.2185,0.3286
2,54,0,0,14,24967,silver,android,active,60,6,0.055915,0.019911,0.1213,845,54,mass,mall,23.73,0.6357,4.3969,0.1049,0.0254,7,0,5,25,affiliate,0.0493,0.3887,0.3558,26.8127,0.2796,-0.1655,0.1826,0.0,0.2115,0.0198,0.5653
2,55,0,0,15,54733,free,android,new,39,13,0.105804,0.026209,0.1751,4837,55,mass,live,24.2,0.7204,4.3538,0.0871,0.0135,23,0,4,35,ads,0.2453,0.3156,0.1076,15.1351,0.3778,0.1828,0.0378,0.1868,0.365,0.3317,0.6138
2,56,0,0,16,63945,silver,ios,new,19,3,0.064526,0.001,0.3702,258,56,mass,ad,25.5,0.6332,4.3697,0.0964,0.0022,11,1,4,24,homepage,0.1736,0.2951,0.4206,33.4443,0.1104,0.3926,0.9471,0.4803,0.1731,0.1272,0.375
2,57,1,0,17,43421,vip,desktop,churn_risk,54,11,0.066042,0.031282,0.374,9271,57,mass,ad,73.6,0.97,4.618,0.0635,0.0232,10,1,4,10,affiliate,0.1211,0.0873,0.3586,20.3865,0.2265,0.1391,0.1762,0.0089,0.3286,0.073,0.5235
2,58,0,0,18,9964,silver,android,active,46,7,0.066217,0.022932,0.1623,5581,58,mass,live,46.34,0.843,4.678,0.0966,0.0041,7,0,3,10,affiliate,0.0562,0.5317,0.5,26.1929,0.1463,0.074,0.3555,0.1039,0.206,0.0859,0.6831
2,59,1,0,19,42524,free,android,active,33,10,0.05914,0.011798,0.2759,14152,59,luxury,ad,15.32,0.8182,4.6034,0.0547,0.0055,13,0,5,24,search,0.1196,0.4604,0.2582,8.5063,0.1992,0.0986,-0.2873,0.6392,0.0763,0.3536,0.5736
2,60,0,0,20,26327,vip,desktop,active,54,15,0.045855,0.012342,0.4786,7849,60,premium,short_video,4.69,0.8907,4.5678,0.078,0.0052,22,1,5,5,push,0.1574,0.0812,0.2516,24.356,0.1202,-0.1217,-0.3012,0.0,0.2172,0.0992,0.7253
2,61,0,0,21,47125,silver,android,churn_risk,40,18,0.09121,0.004382,0.1365,11496,61,premium,live,9.09,0.743,4.5704,0.0739,0.0175,7,0,4,38,search,0.1065,0.2355,0.2845,25.9294,0.1013,-0.3044,0.7125,0.746,0.0502,0.1745,0.587
2,62,0,0,22,45653,silver,android,new,19,19,0.039185,0.012881,0.1394,7802,62,mass,live,15.4,0.4185,4.2684,0.0699,0.0234,7,0,4,12,search,0.0862,0.2085,0.6271,20.517,0.2322,0.2787,-0.4187,0.3809,0.2825,0.4171,0.5433
2,63,1,0,23,64158,free,android,churn_risk,47,4,0.037881,0.013165,0.0987,8647,63,mass,short_video,28.51,0.74,4.5934,0.0811,0.009,9,1,4,10,push,0.0681,0.3287,0.512,25.4964,0.247,0.2874,-0.1753,0.0,0.429,0.1599,0.4212
2,64,1,0,24,50325,free,mobile_web,active,23,2,0.049334,0.01538,0.258,9201,64,premium,short_video,15.42,0.7297,4.1831,0.0614,0.0133,15,0,3,8,push,0.113,0.539,0.6096,17.2853,0.1886,-0.3713,-0.2293,0.2306,0.0,0.2783,0.4428
2,65,0,0,25,15387,free,mobile_web,high_value,45,15,0.075407,0.016467,0.3184,12708,65,premium,short_video,10.86,0.671,4.8051,0.123,0.012,10,0,4,37,homepage,0.1093,0.6543,0.6503,16.6268,0.4344,0.3179,0.1744,0.0,0.5612,0.1448,0.7722
2,66,1,0,26,35222,free,android,active,35,9,0.022626,0.006115,0.2687,10287,66,mass,short_video,51.97,0.7304,4.4094,0.0183,0.0122,14,0,4,5,affiliate,0.1343,0.1855,0.7027,14.287,0.0741,0.0064,-0.0923,0.4262,0.4401,0.389,0.6109
2,67,0,0,27,20708,vip,android,active,37,22,0.10798,0.013246,0.4362,7231,67,luxury,ad,15.22,0.7594,4.4145,0.1209,0.0093,12,0,4,15,affiliate,0.1003,0.3701,0.5016,21.9013,0.3221,0.1389,-0.377,0.1535,0.3649,0.1674,0.7794
2,68,1,0,28,48178,free,mobile_web,active,22,13,0.064453,0.009936,0.0893,14435,68,mass,live,50.31,0.7718,4.7096,0.0558,0.0135,21,0,4,7,affiliate,0.1363,0.4032,0.3913,8.7658,0.0,0.1671,0.007,0.4677,0.2028,0.3769,0.4935
3,69,0,0,1,51348,gold,mobile_web,active,58,6,0.049991,0.038322,0.1583,4843,69,mass,short_video,66.94,0.5794,4.7836,0.1047,0.0081,15,0,5,2,search,0.1129,0.3261,0.4873,40.0988,0.2947,-0.0702,-0.1256,0.4876,0.2203,0.0,0.3095
3,70,1,0,2,20366,silver,mobile_web,active,45,12,0.022748,0.018175,0.2427,8789,70,mass,short_video,21.24,0.62,4.3641,0.1421,0.0122,23,0,4,1,homepage,0.0997,0.0999,0.6139,39.1935,0.0,-0.0554,-0.0386,0.0611,0.4192,0.3596,0.4758
3,71,1,0,3,10102,free,android,active,24,22,0.044689,0.024843,0.3834,8129,71,mass,short_video,3.17,0.8316,5.0,0.0791,0.0005,1,0,5,27,homepage,0.126,0.4593,0.5313,13.5705,0.2518,-0.2544,0.383,0.384,0.321,0.197,0.4651
3,72,0,0,4,59867,free,mobile_web,active,49,26,0.064471,0.013894,0.0325,131,72,mass,short_video,37.28,0.7241,4.4773,0.0791,0.0252,17,0,5,1,ads,0.1226,0.3374,0.2389,1.761,0.172,-0.102,-0.2536,0.1525,0.1368,0.1628,0.8038
3,73,0,0,5,11129,free,mobile_web,new,26,14,0.082051,0.009292,0.4673,9516,73,mass,short_video,61.0,0.6604,4.6812,0.1093,0.0083,2,0,3,38,search,0.1383,0.3878,0.278,20.7055,0.262,0.1426,0.0489,0.0,0.0,0.2315,0.7955
3,74,0,0,6,32535,free,ios,active,46,5,0.055424,0.018071,0.259,5829,74,mass,ad,36.66,0.8936,4.6646,0.1118,0.0133,7,1,5,24,ads,0.0741,0.0,0.5936,24.6924,0.2211,-0.0431,0.2323,0.1776,0.0008,0.0,0.8123
3,75,1,0,7,51774,silver,ios,new,27,23,0.071603,0.015177,0.3454,8129,75,mass,short_video,19.39,0.7902,4.5757,0.1015,0.0213,4,0,4,34,search,0.1209,0.8525,0.3794,17.462,0.0397,0.2341,-0.6054,0.2244,0.0705,0.3316,0.4578
3,76,1,0,8,61825,silver,ios,active,52,20,0.020083,0.040193,0.3931,8675,76,mass,short_video,42.67,0.8232,4.091,0.1125,0.0163,5,1,4,23,search,0.1303,0.3203,0.2912,0.0,0.0377,-0.1102,0.3939,0.7306,0.3542,0.0339,0.4442
3,77,1,1,9,26407,silver,desktop,new,55,12,0.05333,0.022499,0.3377,13213,77,mass,short_video,20.6,0.6502,4.1466,0.1148,0.0147,18,1,4,9,ads,0.2002,0.3007,0.1993,23.5171,0.0755,0.0154,-0.1195,0.0,0.3909,0.0189,0.3543
3,78,0,0,10,51328,vip,ios,churn_risk,32,11,0.057066,0.007827,0.2232,13939,78,luxury,ad,11.29,0.6278,4.8221,0.0568,0.0056,2,0,4,22,homepage,0.0829,0.3813,0.4102,21.747,0.1776,0.1051,0.3456,0.1816,0.1482,0.0,0.677
3,79,0,0,11,29568,gold,ios,active,39,17,0.083713,0.013863,0.0324,2665,79,mass,short_video,32.86,0.6701,4.5068,0.1036,0.0097,20,1,5,11,search,0.1623,0.3874,0.5721,16.3566,0.0,-0.1672,-0.4983,0.1067,0.1763,0.2287,0.3422
3,80,0,0,12,62958,free,android,new,43,1,0.073478,0.013921,0.434,3272,80,mass,short_video,19.79,0.6433,4.6089,0.0911,0.0005,1,1,4,15,affiliate,0.1535,0.1639,0.5538,30.557,0.3263,0.1865,0.1293,0.0,0.2052,0.0451,0.6852
3,81,1,0,13,39172,gold,ios,active,57,24,0.107946,0.001,0.3352,1294,81,mass,short_video,14.77,0.7125,4.5691,0.0424,0.0059,2,0,4,10,homepage,0.1395,0.2333,0.7103,6.2206,0.2885,0.0891,-0.2485,0.2868,0.1673,0.3347,0.7415
3,82,0,0,14,13134,free,ios,active,42,8,0.041315,0.010152,0.2355,1731,82,mass,short_video,18.08,0.6488,4.2702,0.0763,0.0084,12,0,4,16,homepage,0.1741,0.3954,0.392,27.5874,0.0682,0.3328,-0.2516,0.5369,0.372,0.0,0.6476
3,83,1,0,15,11704,gold,android,active,21,9,0.06376,0.011436,0.3854,3080,83,mass,short_video,42.06,0.4416,4.6511,0.1345,0.0119,22,1,4,30,homepage,0.049,0.3327,0.4384,19.7493,0.0679,0.2122,0.311,0.5432,0.0573,0.0829,0.7174
3,84,0,0,16,28092,free,ios,active,18,10,0.066899,0.021669,0.4587,14043,84,mass,mall,10.52,0.8775,4.3616,0.0474,0.0073,22,0,4,25,homepage,0.153,0.1976,0.4369,26.3136,0.0137,-0.0398,-0.0367,0.1677,0.6691,0.1585,0.6431
3,85,0,0,17,42617,silver,desktop,active,33,24,0.041539,0.018499,0.0278,14115,85,mass,short_video,44.87,0.6686,4.141,0.0997,0.0169,9,1,4,25,homepage,0.1145,0.1291,0.7042,17.3936,0.0752,0.2899,-0.1944,0.0,0.0,0.2178,0.4242
3,86,0,0,18,23996,silver,ios,churn_risk,39,7,0.086074,0.011098,0.237,11137,86,premium,short_video,31.63,0.6223,4.5286,0.0912,0.0018,3,0,4,20,search,0.0335,0.5081,0.7016,43.3452,0.0,0.5425,0.8039,0.0,0.4229,0.4096,0.5513
3,87,0,0,19,22100,free,mobile_web,high_value,43,6,0.07581,0.024879,0.2254,9442,87,mass,live,25.48,0.8951,4.5105,0.0652,0.0201,7,0,4,9,search,0.1673,0.4539,0.3897,21.4486,0.4603,0.1518,-0.4081,0.2463,0.0103,0.1342,0.4827
3,88,1,0,20,2507,vip,ios,active,59,15,0.044406,0.006263,0.0212,3743,88,mass,short_video,35.31,0.7548,4.5355,0.07,0.0136,0,1,3,29,search,0.074,0.4777,0.3189,18.9235,0.1228,-0.2921,-0.1627,0.4594,0.1254,0.0518,0.443
3,89,0,0,21,26038,free,android,active,20,1,0.050607,0.011533,0.0611,9978,89,premium,short_video,29.25,0.8982,4.3642,0.0867,0.0207,2,0,3,17,search,0.086,0.2008,0.534,16.8863,0.389,0.1247,0.4814,0.0,0.0273,0.3451,0.4401
3,90,1,0,22,57373,silver,android,active,47,13,0.086515,0.023484,0.003,10188,90,mass,short_video,59.15,0.8404,4.7516,0.0774,0.015,1,0,5,7,push,0.0623,0.4477,0.4877,3.7422,0.2291,0.1953,-0.0534,0.2175,0.0624,0.0,0.6139
3,91,0,0,23,68789,silver,ios,high_value,57,22,0.083247,0.015066,0.3582,12576,91,premium,short_video,34.61,0.7814,4.2291,0.1182,0.0187,19,1,4,11,affiliate,0.0638,0.3337,0.3138,18.1574,0.1809,-0.1934,-0.1375,0.3211,0.0,0.1512,0.2801
3,92,0,0,24,65192,free,android,high_value,56,23,0.057812,0.022929,0.0972,12210,92,mass,short_video,34.52,0.5789,4.893,0.0714,0.0237,7,0,4,40,homepage,0.0557,0.1907,0.2953,26.3111,0.324,0.1854,0.3278,0.1826,0.0,0.0,0.3536
3,93,0,0,25,33331,free,desktop,active,39,19,0.079261,0.028658,0.0928,10009,93,premium,short_video,39.18,0.5325,4.6121,0.1066,0.0072,16,1,4,34,search,0.1145,0.1377,0.2164,23.435,0.366,-0.1754,0.4537,0.0159,0.3527,0.4209,0.7297
3,94,1,0,26,32538,free,ios,active,50,10,0.097606,0.023088,0.0383,4483,94,mass,short_video,9.43,0.6721,4.7227,0.0593,0.0193,21,1,4,12,ads,0.043,0.334,0.3752,22.4489,0.0977,0.2016,-0.4689,0.0526,0.0,0.2916,0.6002
4,95,0,0,1,34994,vip,mobile_web,high_value,31,14,0.059363,0.016457,0.1558,12292,95,mass,mall,27.02,0.746,4.0626,0.0221,0.0092,9,0,2,25,search,0.0247,0.6003,0.547,16.6896,0.1616,-0.0114,-0.0041,0.4584,0.2702,0.0,0.7109
